id,network,perspective,name,title,organization,country,experience,last_updated
27642,Guidepoint,Former,Elizabeth Miller,Camera operator,Edwards and Sons,Switzerland,"[""[{\""id\"": \""38f827a1-c410-4ed5-8c6e-e693b7157ba4\"", \""title\"": \""International aid/development worker\"", \""company\"": \""Williams, Smith and Forbes\"", \""duration\"": \""10 years\""}]"", ""[{\""id\"": \""f8a94215-de6c-44ec-af2b-740a4181f00e\"", \""title\"": \""Management consultant\"", \""company\"": \""Brown, Reid and Montoya\"", \""duration\"": \""7 years\""}]"", ""[{\""id\"": \""e20e5530-c438-4982-9e3c-f09a4b0b1860\"", \""title\"": \""Set designer\"", \""company\"": \""Ellis LLC\"", \""duration\"": \""9 years\""}]"", ""[{\""id\"": \""eeeccb3a-76f4-421b-b5dc-3e928ec6153a\"", \""title\"": \""Education officer, museum\"", \""company\"": \""Jackson, Price and Brown\"", \""duration\"": \""7 years\""}]"", ""[{\""id\"": \""dd092b7f-5501-4b7b-aecc-ba292153dc17\"", \""title\"": \""Architect\"", \""company\"": \""Garcia-Soto\"", \""duration\"": \""1 years\""}]"", ""[{\""id\"": \""d031084b-1223-48b1-9a93-25617bc1a2cc\"", \""title\"": \""Marine scientist\"", \""company\"": \""Winters and Sons\"", \""duration\"": \""8 years\""}]""]",2024-09-10T17:02:57.918025
62580,AlphaSights,Competitor,Michael Ayers,Early years teacher,Hardy-Morris,Italy,"[""[{\""id\"": \""25f29856-44d2-4828-a5da-ccb5868293ee\"", \""title\"": \""Landscape architect\"", \""company\"": \""Kelly-Goodwin\"", \""duration\"": \""4 years\""}]"", ""[{\""id\"": \""b12e6f76-d8cd-4bfa-9ad6-d5cd2abcb1c5\"", \""title\"": \""Arts development officer\"", \""company\"": \""Alvarez Ltd\"", \""duration\"": \""2 years\""}]"", ""[{\""id\"": \""e10d16cb-c9dc-4c3d-a120-d67570f6074b\"", \""title\"": \""Sound technician, broadcasting/film/video\"", \""company\"": \""Rodriguez-Day\"", \""duration\"": \""4 years\""}]"", ""[{\""id\"": \""b0d28759-e7a6-4758-9432-b746ef8885f5\"", \""title\"": \""Arboriculturist\"", \""company\"": \""Daniels Group\"", \""duration\"": \""7 years\""}]"", ""[{\""id\"": \""bb8c6812-b5b1-455d-a4b2-224e6ea80d3d\"", \""title\"": \""Scientist, research (maths)\"", \""company\"": \""Burch, Caldwell and Reyes\"", \""duration\"": \""9 years\""}]"", ""[{\""id\"": \""e2eb1f0b-b40a-4014-9bea-67820070ea99\"", \""title\"": \""Engineer, agricultural\"", \""company\"": \""Wilson, White and Brooks\"", \""duration\"": \""10 years\""}]"", ""[{\""id\"": \""72438d56-c67c-46c4-b006-5f1fdcb8baac\"", \""title\"": \""Adult guidance worker\"", \""company\"": \""Thornton PLC\"", \""duration\"": \""7 years\""}]"", ""[{\""id\"": \""d20c9512-defc-416f-9af2-d2b261e3ac37\"", \""title\"": \""Race relations officer\"", \""company\"": \""Skinner-Russell\"", \""duration\"": \""5 years\""}]""]",2024-09-10T17:02:57.918025
2525,Dialectica,Competitor,Kim Stuart,Mining engineer,"Walton, Phillips and Parker",France,"[""[{\""id\"": \""270a91a7-e5e7-466e-a29f-0cd904a13dde\"", \""title\"": \""Forest/woodland manager\"", \""company\"": \""Greene and Sons\"", \""duration\"": \""9 years\""}]"", ""[{\""id\"": \""90dbaa46-351f-4aaf-9793-0eff4d3f340b\"", \""title\"": \""Retail banker\"", \""company\"": \""Morgan Ltd\"", \""duration\"": \""9 years\""}]"", ""[{\""id\"": \""6ee3898d-cfec-4efb-95fb-9960ec2f89b1\"", \""title\"": \""Armed forces operational officer\"", \""company\"": \""Rogers, Shaffer and Pennington\"", \""duration\"": \""5 years\""}]"", ""[{\""id\"": \""1c0b31b4-25e5-4901-ba28-6a3d784087a8\"", \""title\"": \""Multimedia programmer\"", \""company\"": \""Brown, Davidson and Watson\"", \""duration\"": \""4 years\""}]"", ""[{\""id\"": \""ae1e75c7-5fa6-4d65-8ea2-a59e7586e5a2\"", \""title\"": \""Brewing technologist\"", \""company\"": \""Adams, House and Hart\"", \""duration\"": \""6 years\""}]""]",2024-09-10T17:02:57.918025
50749,Third Bridge,Competitor,Timothy Barton,Podiatrist,Francis-Curtis,Japan,"[""[{\""id\"": \""16daa8c3-29ad-4357-919f-22c624780210\"", \""title\"": \""Sales professional, IT\"", \""company\"": \""Mendez-Hunter\"", \""duration\"": \""1 years\""}]"", ""[{\""id\"": \""ebf97462-88f0-42c7-b47f-e1857d00ca61\"", \""title\"": \""Engineer, land\"", \""company\"": \""Riley-Crawford\"", \""duration\"": \""6 years\""}]"", ""[{\""id\"": \""6aab66a2-16d7-44f5-aad1-dc5a370910c1\"", \""title\"": \""Radiation protection practitioner\"", \""company\"": \""Gonzalez, Smith and Sandoval\"", \""duration\"": \""7 years\""}]"", ""[{\""id\"": \""520ce633-3d81-4a64-9728-77e5399dc645\"", \""title\"": \""Purchasing manager\"", \""company\"": \""Anderson PLC\"", \""duration\"": \""4 years\""}]""]",2024-09-10T17:02:57.918025
34447,Third Bridge,Customer,Kristi Cooper,"Merchandiser, retail",Mason Group,Ireland,"[""[{\""id\"": \""4c5b8659-46a1-49aa-8a2d-61e9c5ea3294\"", \""title\"": \""Armed forces logistics/support/administrative officer\"", \""company\"": \""Roberts, Roth and Pennington\"", \""duration\"": \""5 years\""}]"", ""[{\""id\"": \""e2756039-71cc-41de-850a-ee5352ebf2b3\"", \""title\"": \""English as a second language teacher\"", \""company\"": \""Kelly-Santana\"", \""duration\"": \""3 years\""}]"", ""[{\""id\"": \""42239b39-66ad-4510-adf9-0750825349be\"", \""title\"": \""Forensic psychologist\"", \""company\"": \""Chase, Knight and Doyle\"", \""duration\"": \""10 years\""}]"", ""[{\""id\"": \""65327a68-259a-4937-9935-410403f6f5ce\"", \""title\"": \""Designer, interior/spatial\"", \""company\"": \""Adams PLC\"", \""duration\"": \""10 years\""}]"", ""[{\""id\"": \""60cea7d8-53bd-4f9c-82e5-bf34ab41aae2\"", \""title\"": \""Web designer\"", \""company\"": \""Jimenez PLC\"", \""duration\"": \""3 years\""}]"", ""[{\""id\"": \""39a3af5e-376d-4450-aab2-9da63f3c2561\"", \""title\"": \""Chiropodist\"", \""company\"": \""Davis PLC\"", \""duration\"": \""9 years\""}]"", ""[{\""id\"": \""5b882b26-3b83-42a7-991e-557c1d2e4d6e\"", \""title\"": \""Theatre stage manager\"", \""company\"": \""Brown, Greene and Luna\"", \""duration\"": \""9 years\""}]""]",2024-09-10T17:02:57.918025
79266,Third Bridge,Competitor,Wesley Thornton,Police officer,Parker-Khan,United Kingdom,"[""[{\""id\"": \""6363c134-86ee-4445-810e-0e40e9010a34\"", \""title\"": \""Geographical information systems officer\"", \""company\"": \""Hall, West and Harmon\"", \""duration\"": \""9 years\""}]"", ""[{\""id\"": \""3b1eb2a0-c18c-499c-97a7-73b18ac4d833\"", \""title\"": \""Wellsite geologist\"", \""company\"": \""Rice LLC\"", \""duration\"": \""6 years\""}]"", ""[{\""id\"": \""0ab3c9fb-0b54-427e-9099-9e99867f4a96\"", \""title\"": \""Computer games developer\"", \""company\"": \""Austin-Huang\"", \""duration\"": \""1 years\""}]"", ""[{\""id\"": \""59594d66-1062-4a6f-8d35-db63f6264844\"", \""title\"": \""Hospital pharmacist\"", \""company\"": \""Mcmahon-Sanders\"", \""duration\"": \""8 years\""}]"", ""[{\""id\"": \""723c22d6-b1f8-406c-83aa-1f9449ba5199\"", \""title\"": \""Geophysicist/field seismologist\"", \""company\"": \""Dean Ltd\"", \""duration\"": \""10 years\""}]"", ""[{\""id\"": \""78581972-b5b5-4041-8ffb-31892b29d192\"", \""title\"": \""Higher education careers adviser\"", \""company\"": \""Montes-Gaines\"", \""duration\"": \""10 years\""}]"", ""[{\""id\"": \""051c2f56-82e2-40f8-b877-d5f0efd3bc35\"", \""title\"": \""Recycling officer\"", \""company\"": \""Walker-Campbell\"", \""duration\"": \""9 years\""}]"", ""[{\""id\"": \""981a2813-2d58-471a-bd9a-2aa2cca24424\"", \""title\"": \""Economist\"", \""company\"": \""Jones, Watkins and Page\"", \""duration\"": \""10 years\""}]""]",2024-09-10T17:02:57.918025
61028,Guidepoint,Former,David Roberts DVM,Museum/gallery curator,Cox-Dunn,Ireland,"[""[{\""id\"": \""8fffd314-c2fa-4aba-9fa8-efae1e91070b\"", \""title\"": \""Therapist, music\"", \""company\"": \""Clark, Swanson and Holmes\"", \""duration\"": \""9 years\""}]"", ""[{\""id\"": \""2adb0b98-9a2a-4e34-ae10-0511e2a0f282\"", \""title\"": \""Chiropractor\"", \""company\"": \""Graham-Anderson\"", \""duration\"": \""10 years\""}]"", ""[{\""id\"": \""cfbbb4cd-c498-4d49-bffa-fb679577f941\"", \""title\"": \""Journalist, magazine\"", \""company\"": \""Ferguson-Yoder\"", \""duration\"": \""6 years\""}]"", ""[{\""id\"": \""05fffa3c-bc63-4004-9c00-ed154e23d265\"", \""title\"": \""Clinical psychologist\"", \""company\"": \""Wilson Group\"", \""duration\"": \""7 years\""}]"", ""[{\""id\"": \""a93333f0-bf14-4c89-b3c3-15b2842db4f3\"", \""title\"": \""Engineer, drilling\"", \""company\"": \""Navarro and Sons\"", \""duration\"": \""8 years\""}]"", ""[{\""id\"": \""127c68ee-4a19-442b-a289-2823aa3c6ad6\"", \""title\"": \""Cytogeneticist\"", \""company\"": \""Davis, Howell and Swanson\"", \""duration\"": \""5 years\""}]""]",2024-09-10T17:02:57.918025
99489,Dialectica,Competitor,Johnathan Holmes,"Teacher, special educational needs",Garcia PLC,Spain,"[""[{\""id\"": \""62efaa62-1eec-44c7-a9be-443fa32d8d9b\"", \""title\"": \""Dancer\"", \""company\"": \""Stevenson and Sons\"", \""duration\"": \""3 years\""}]"", ""[{\""id\"": \""04c51042-1d05-4a36-8680-bf9b17e31bfb\"", \""title\"": \""Runner, broadcasting/film/video\"", \""company\"": \""Lee, Johnson and Briggs\"", \""duration\"": \""5 years\""}]"", ""[{\""id\"": \""d0a47bf6-6b7b-45a1-be91-c9b09fb5de28\"", \""title\"": \""Best boy\"", \""company\"": \""Allen, Ford and Walker\"", \""duration\"": \""9 years\""}]"", ""[{\""id\"": \""2687a36f-929a-400a-889a-c85b4e6ec01a\"", \""title\"": \""Therapist, nutritional\"", \""company\"": \""Davis-Green\"", \""duration\"": \""8 years\""}]"", ""[{\""id\"": \""4b7558a5-7536-4ad9-a42b-f32a9da2b36e\"", \""title\"": \""IT technical support officer\"", \""company\"": \""Brooks, Stephens and Morris\"", \""duration\"": \""3 years\""}]""]",2024-09-10T17:02:57.918025
5189,Third Bridge,Customer,Stephen Fuller,Plant breeder/geneticist,Richard-White,Norway,"[""[{\""id\"": \""9d3ad8db-9934-431a-9fa5-ea0b671f0862\"", \""title\"": \""Patent attorney\"", \""company\"": \""Moon-Mosley\"", \""duration\"": \""3 years\""}]"", ""[{\""id\"": \""3ef9f297-b9db-4585-a114-59c568c3162d\"", \""title\"": \""Scientist, clinical (histocompatibility and immunogenetics)\"", \""company\"": \""Bowman-Wright\"", \""duration\"": \""1 years\""}]"", ""[{\""id\"": \""ace1aba5-c81d-4bac-96c5-ce7e8244d732\"", \""title\"": \""Herbalist\"", \""company\"": \""Beard-Norton\"", \""duration\"": \""9 years\""}]"", ""[{\""id\"": \""f9f22f5b-e44d-4b6b-8092-e3ba23d76aaf\"", \""title\"": \""Gaffer\"", \""company\"": \""Curtis, Burgess and Kent\"", \""duration\"": \""7 years\""}]"", ""[{\""id\"": \""3b2c9c63-2b7f-4a2b-bdb6-ee144642e977\"", \""title\"": \""Designer, ceramics/pottery\"", \""company\"": \""Jones, Park and Sellers\"", \""duration\"": \""5 years\""}]""]",2024-09-10T17:02:57.918025
74286,Dialectica,Former,Emily Hood,Financial planner,Hanna LLC,France,"[""[{\""id\"": \""051f8c7a-e611-499e-bf2c-015a0ba7401c\"", \""title\"": \""Lexicographer\"", \""company\"": \""Johnson Inc\"", \""duration\"": \""3 years\""}]"", ""[{\""id\"": \""e4781a8c-63fe-4ce0-8ed4-caa53d7c47bd\"", \""title\"": \""Stage manager\"", \""company\"": \""Sampson-Burnett\"", \""duration\"": \""3 years\""}]"", ""[{\""id\"": \""b9c0cee6-2a20-4efc-9bb6-837f98d83e6c\"", \""title\"": \""Volunteer coordinator\"", \""company\"": \""Ruiz-Carrillo\"", \""duration\"": \""10 years\""}]"", ""[{\""id\"": \""3f8f6cc7-7cdb-47cf-b28d-0328d56eac6b\"", \""title\"": \""Systems analyst\"", \""company\"": \""Graham Inc\"", \""duration\"": \""1 years\""}]"", ""[{\""id\"": \""4f519d54-4a27-4abe-bb5b-c1ec28c7ca83\"", \""title\"": \""Information systems manager\"", \""company\"": \""Smith-White\"", \""duration\"": \""6 years\""}]"", ""[{\""id\"": \""3d310278-d55e-4173-addc-84fb672567d6\"", \""title\"": \""Buyer, industrial\"", \""company\"": \""Rojas-Collins\"", \""duration\"": \""5 years\""}]"", ""[{\""id\"": \""65558930-1bdc-48f7-91d1-bb28809a8078\"", \""title\"": \""Printmaker\"", \""company\"": \""Smith and Sons\"", \""duration\"": \""1 years\""}]""]",2024-09-10T17:02:57.918025
